PulseHeight,UpstrokeTime,UpSlope,DownSlope,AUC,SystTime,cfPWV
4002.310546875,0.175999999046326,65929.5546875,-40229.7890625,8963.78515625,0.478498935699463,5.17203804155681
5051.1103515625,0.185000002384186,83650.21875,-43199.7734375,11134.419921875,0.520536839962006,5.20438625384978
4445.2998046875,0.175000011920929,70999.859375,-44800.3828125,10760.650390625,0.426486164331436,5.4133920017954
4784.8193359375,0.178000003099442,77899.2578125,-45898.63671875,10889.4580078125,0.475502073764801,5.28794734105716
5496,0.17799998819828,88200.015625,-50700.84765625,12815.9541015625,0.471506267786026,5.40600140302839
5835.2900390625,0.185000002384186,95600.390625,-48101.20703125,13064.5888671875,0.519537746906281,5.30529810529087
5102.1005859375,0.177000015974045,79799.640625,-49800.4453125,12694.8701171875,0.421492159366608,5.53918862233434
4206.8798828125,0.185000002384186,70270.921875,-37649.75390625,9205.0625,0.523534178733826,5.09677840245866
5130.400390625,0.185000002384186,86989.078125,-44100.17578125,10254.08203125,0.520536839962006,5.16677701124951
5618.119140625,0.177000001072884,92499.8125,-52100.28125,11763.466796875,0.471506267786026,5.35170498441741
3727.51953125,0.174000024795532,60829.953125,-39500.5078125,8827.1826171875,0.430481344461441,5.28064986737698
4273.39013671875,0.157999992370605,72581.015625,-38300.296875,8500.35546875,0.523534178733826,5.0628934407101
5941.32958984375,0.185000002384186,99949.015625,-49298.96875,12009.005859375,0.518538653850555,5.26228535000091
4874.59033203125,0.176999986171722,81190.265625,-47199.828125,10011.4697265625,0.474503129720688,5.24568973791932
5220.2998046875,0.174999997019768,83900.21875,-51100.265625,11639.4638671875,0.422490954399109,5.48229048380706
4070.4697265625,0.157999992370605,68289.8984375,-40971.23046875,8260.802734375,0.478498935699463,5.13791599529818
3798.1396484375,0.159000009298325,63269.40234375,-40399.93359375,8121.8310546875,0.430481344461441,5.23691632460459
6048,0.184000015258789,104809.359375,-50300.453125,10949.53125,0.518538653850555,5.21475305341975
5742.3798828125,0.175000011920929,97399.21875,-53798.89453125,10706.546875,0.471506267786026,5.29753937479245
4534.5908203125,0.175000011920929,74199.0703125,-46299.01953125,9879.931640625,0.426486164331436,5.36378757913684
5220.6796875,0.157000005245209,90639.4609375,-45039.27734375,9370.9638671875,0.519537746906281,5.12552560770119
4143.1298828125,0.157000005245209,70910.015625,-41840.3828125,7555.76904296875,0.47749999165535,5.10084805156926
4971.1201171875,0.158000022172928,84850.4140625,-48298.98828125,9130.390625,0.474503129720688,5.20108666384992
